id,question,correctoption,cognitivelevel,option_a,option_b,option_c,option_d,option_e,option_f,rationale
17,¿Qué busca un comité o programa de diversidad e inclusión en una empresa minera?,A,Baja,"Promover entornos de trabajo respetuosos e igualitarios y prevenir la discriminación y el hostigamiento, asegurando igualdad de oportunidades",Reducir personal para ahorrar costos de planilla,Aumentar el número de sanciones disciplinarias del periodo,Favorecer sistemáticamente a un grupo por sobre los demás,Supervisar la producción y la productividad de la planta,,"Un comité o programa de diversidad e inclusión busca construir entornos donde todas las personas sean tratadas con respeto y tengan igualdad de oportunidades, previniendo la discriminación, el acoso y el hostigamiento. En la minería, sector históricamente masculinizado, estos espacios impulsan la incorporación equitativa de mujeres y de grupos diversos y promueven una cultura de respeto. Forman parte de la gobernanza de DDHH de Minsur: no se trata de favorecer a unos sobre otros, sino de remover barreras y asegurar las mismas oportunidades y un trato digno para todos, lo que también fortalece el clima y el desempeño de los equipos. B y C nada tienen que ver con inclusión (reducir personal o sancionar). D malinterpreta la inclusión como favoritismo, cuando su objetivo es la igualdad de oportunidades. E corresponde a un rol operativo, ajeno a la gestión de diversidad."
18,"La capacitación en Derechos Humanos en Minsur está dirigida a colaboradores y contratistas, y sirve principalmente para:",A,Baja,"Que las personas reconozcan riesgos e impactos a los derechos y sepan cómo actuar, fortaleciendo una cultura de respeto",Cumplir un requisito formal sin efecto práctico en el trabajo,Reducir el número de denuncias que llegan al canal,Evitar la realización de auditorías externas,Incrementar directamente la productividad de la planta,,"La capacitación traduce la política en práctica: desarrolla la capacidad de las personas para reconocer riesgos e impactos a los Derechos Humanos en su trabajo diario y para actuar correctamente, por ejemplo identificando una situación de discriminación, una condición insegura o un caso que debe canalizarse. Por eso se dirige no solo al personal propio, sino también a contratistas, que son parte del entorno de la operación. Más allá del cumplimiento, su fin es construir una cultura de respeto en Minsur, donde la prevención y el reporte de buena fe sean parte natural de cómo se trabaja. B la vacía de sentido (mero trámite). C confunde el objetivo: capacitar no busca que haya menos denuncias, sino mejores decisiones; de hecho puede aumentar el reporte de buena fe. D y E le atribuyen fines ajenos (evitar auditorías, subir producción)."
19,"A diferencia de un riesgo operacional o financiero clásico, un riesgo en Derechos Humanos se prioriza principalmente por:",A,Media,"Su severidad para las personas afectadas: el alcance, la gravedad y la reversibilidad del daño a su dignidad o integridad",Su impacto en la rentabilidad y los resultados de la empresa,El valor económico de los activos involucrados,El tiempo que toma documentarlo en el sistema,El número de reportes administrativos que genera,,"En la gestión tradicional de riesgos el foco está en el impacto para la empresa (costos, activos, reputación). En Derechos Humanos, en cambio, el foco está en las personas: un riesgo se prioriza por su severidad para quienes podrían verse afectados, medida por tres factores: el alcance (cuántas personas), la gravedad (qué tan serio es el daño) y la reversibilidad (si puede repararse). Un riesgo o impacto es crítico cuando puede afectar la dignidad, la salud, la integridad o la vida, aunque su impacto económico para la empresa sea bajo. Para Minsur, esto cambia el criterio de priorización: primero las personas. B, C, D y E miran el riesgo desde la perspectiva de la empresa o de la operación (rentabilidad, activos, tiempo, número de reportes), no desde el impacto en las personas, que es el criterio propio de los Derechos Humanos."
20,¿Por qué la matriz de riesgos en DDHH debe actualizarse periódicamente y por qué es útil revisar el historial de quejas?,A,Media,Porque los riesgos cambian con el tiempo y el historial revela patrones recurrentes que permiten anticipar y corregir impactos,Porque así se puede cerrar más rápido cada caso sin investigarlo,Porque permite sancionar automáticamente a quien aparece en el historial,Porque reduce el número de reportes que la empresa debe atender,Porque sustituye la necesidad de capacitar al personal,,"La debida diligencia es un ciclo, no un acto único: los riesgos cambian con las operaciones, los contextos y las relaciones comerciales, por lo que la matriz de riesgos debe actualizarse de forma periódica. Revisar el historial de quejas y denuncias es una fuente valiosa de aprendizaje: permite detectar patrones recurrentes —por ejemplo, reclamos repetidos en una misma área o con un mismo contratista— y anticipar impactos antes de que se agraven. En Minsur, este seguimiento alimenta la mejora continua: lo aprendido se traduce en nuevos controles, ajustes a los planes y refuerzos de capacitación. B y C distorsionan el propósito: el historial sirve para aprender y prevenir, no para cerrar sin investigar ni para sancionar de forma automática. D y E le atribuyen efectos ajenos (reducir reportes o reemplazar la capacitación)."
21,"Cuando una evaluación identifica un riesgo o impacto relevante en Derechos Humanos, los planes de acción o mitigación buscan:",A,Media,"Prevenir, reducir o eliminar ese impacto mediante medidas concretas, con responsables y plazos definidos",Eliminar los controles existentes para agilizar la operación,Documentar el riesgo sin tomar ninguna medida adicional,Trasladar la responsabilidad del riesgo a los trabajadores,Aumentar la producción aprovechando la situación detectada,,"Identificar un riesgo no basta: la debida diligencia exige actuar. Cuando una evaluación detecta un impacto real o potencial relevante, se diseña un plan de acción o mitigación con medidas concretas para prevenirlo, reducirlo o eliminarlo, asignando responsables, recursos y plazos, y haciendo seguimiento a su eficacia. Los programas internos de Minsur —por ejemplo en seguridad, relación con comunidades o gestión de contratistas— son parte de estas medidas de mitigación. La clave es que el plan cierre la brecha entre el riesgo detectado y una situación gestionada, y que su cumplimiento se verifique. B contradice la gestión preventiva (no se eliminan controles). C es insuficiente: documentar no es mitigar. D traslada indebidamente la responsabilidad a los trabajadores. E desvía el propósito hacia la producción, ajeno a la mitigación de impactos."
22,¿Por qué Minsur debe extender su debida diligencia a sus contratistas y proveedores?,A,Media,"Porque puede estar vinculada a impactos a través de sus relaciones comerciales aun sin causarlos, y debe usar su influencia para prevenirlos y mitigarlos",Porque es un trámite opcional que no tiene consecuencias reales,Porque solo importa la imagen ante el cliente final del producto,Porque así obtiene un menor precio en los insumos que compra,Porque los contratistas no tienen ninguna relación con la empresa,,"La responsabilidad de respetar no termina en la puerta de la empresa. Una compañía puede causar un impacto, contribuir a él o estar directamente vinculada a impactos a través de sus relaciones comerciales, incluso sin haberlos provocado. Por eso Minsur debe evaluar a proveedores y contratistas, donde pueden existir riesgos como trabajo forzoso, trabajo infantil, condiciones inseguras o afectaciones a comunidades. Debe usar su capacidad de influencia —cláusulas contractuales, evaluaciones, requisitos de gestión y planes de mejora— para prevenir y mitigar esos impactos. Ignorar la cadena de suministro deja un riesgo grave sin gestionar. B y C minimizan la obligación (la reducen a trámite o imagen). D confunde el objetivo: no se trata de precio. E es falso: los contratistas forman parte de las relaciones comerciales de la empresa y de su esfera de responsabilidad."
23,"Las auditorías externas en materia de Derechos Humanos, realizadas por entidades independientes, tienen como objetivo principal:",A,Media,Verificar de forma imparcial el cumplimiento de los estándares e identificar oportunidades de mejora del sistema,Fiscalizar individualmente a los colaboradores para sancionarlos,Sustituir por completo los controles internos de la empresa,Garantizar que jamás vuelva a existir ningún riesgo,Incrementar la producción reduciendo los costos del periodo,,"Las auditorías externas son parte del seguimiento del sistema de debida diligencia. Al ser realizadas por entidades independientes, aportan una mirada imparcial que permite verificar si la empresa cumple realmente sus compromisos y estándares, y detectar brechas y oportunidades de mejora que internamente podrían pasar inadvertidas. No reemplazan los controles internos ni eliminan los riesgos por sí solas: los complementan y refuerzan la credibilidad del sistema. Para Minsur, sus resultados retroalimentan la mejora continua, generando planes de acción para corregir las debilidades encontradas. B confunde la auditoría del sistema con la fiscalización punitiva de personas. C es incorrecto: la auditoría complementa, no sustituye, los controles internos. D promete algo imposible: ningún sistema elimina por completo los riesgos. E le atribuye un fin productivo ajeno."
24,¿Para qué sirve la Línea Ética o Canal de Integridad de Minsur?,A,Baja,"Para que cualquier persona —colaboradores, contratistas o comunidades— reporte quejas, conductas indebidas o posibles vulneraciones, de forma accesible","Solo para uso interno de la gerencia, no de los trabajadores",Para evaluar el desempeño y la productividad de los trabajadores,"Para solicitar permisos, vacaciones o consultas operativas",Para reemplazar a la justicia del Estado en los conflictos legales,,"Un mecanismo de reclamación —a menudo llamado Línea Ética o Canal de Integridad— permite que cualquier persona vinculada a la operación (colaboradores, contratistas y también comunidades) reporte quejas, denuncias de conductas indebidas o posibles vulneraciones a los Derechos Humanos. Su valor está en ofrecer una vía temprana y accesible para detectar problemas antes de que se agraven y canalizarlos hacia su investigación y, si corresponde, su remediación. En Minsur, este canal es una pieza central del sistema: convierte una preocupación en un caso gestionable y permite a la empresa aprender de lo reportado. No reemplaza a la justicia estatal, pero la complementa. B lo restringe a la gerencia, cuando debe ser accesible a todas las partes interesadas. C lo confunde con evaluación de desempeño. D lo banaliza como trámite operativo. E es incorrecto: complementa, pero no sustituye, a la justicia del Estado."
25,"Según los Principios Rectores de la ONU, ¿qué hace que un mecanismo de reclamación sea realmente efectivo?",A,Media,"Que sea legítimo, accesible, predecible, equitativo, transparente, compatible con los derechos y una fuente de aprendizaje, con confidencialidad y seguimiento",Que sea conocido únicamente por las jefaturas de la empresa,Que registre las quejas pero no les dé ningún seguimiento posterior,Que exija pruebas irrefutables antes de admitir cualquier reporte,Que resuelva todos los casos imponiendo siempre una sanción,,"Que exista un canal no garantiza que funcione. Los Principios Rectores establecen criterios de eficacia: un mecanismo debe ser legítimo (generar confianza), accesible (fácil de usar y conocido por todos), predecible (con plazos y etapas claras), equitativo, transparente, compatible con los Derechos Humanos y una fuente de aprendizaje continuo; en el caso de mecanismos operacionales, además, basado en el diálogo. En la práctica esto se traduce en confidencialidad, protección frente a represalias, investigación seria y seguimiento. Para Minsur, evaluar su canal contra estos criterios permite saber si las personas realmente confían en él y lo usan. B viola la accesibilidad (debe llegar a todos, no solo a jefaturas). C incumple el seguimiento. D impone una barrera indebida: no se exige prueba irrefutable para reportar de buena fe. E confunde el fin: no todo caso termina en sanción; el objetivo es esclarecer y remediar."
26,"Cuando se recibe una denuncia a través del canal de la empresa, el manejo correcto consiste en:",A,Media,"Registrarla, investigarla de manera objetiva con debido proceso y dar una respuesta, protegiendo la confidencialidad y sin represalias",Archivarla de inmediato si no viene acompañada de pruebas contundentes,Resolverla aplicando una sanción automática a la persona señalada,Hacerla pública para que la comunidad opine sobre el caso,Atenderla solo si la presenta una jefatura o un directivo,,"Toda denuncia recibida por el canal debe gestionarse con un proceso ordenado: registrarse, investigarse de forma objetiva e imparcial respetando el debido proceso —escuchando a las partes y reuniendo información— y cerrarse con una respuesta y, si corresponde, medidas correctivas o de remediación. Durante todo el proceso se protege la confidencialidad y se evita cualquier represalia contra quien reportó de buena fe. No importa el volumen ni quién la presenta: el valor está en la calidad del manejo. Para Minsur, una buena gestión de denuncias permite corregir conductas, prevenir su recurrencia y reforzar la confianza en el sistema. B impone una barrera indebida (archivar por falta de pruebas) en lugar de investigar. C viola el debido proceso con sanciones automáticas. D expone a las personas y vulnera la confidencialidad. E excluye a la mayoría, cuando el canal debe ser accesible para todos."
